infografia,fecha,hora,id_provincia,nombre_provincia,fallecidos
25,26/3/2020,17:00,01,azuay,0
25,26/3/2020,17:00,02,bolivar,0
25,26/3/2020,17:00,03,canar,0
25,26/3/2020,17:00,04,carchi,0
25,26/3/2020,17:00,06,chimborazo,0
25,26/3/2020,17:00,05,cotopaxi,1
25,26/3/2020,17:00,07,el oro,3
25,26/3/2020,17:00,08,esmeraldas,0
25,26/3/2020,17:00,20,galapagos,0
25,26/3/2020,17:00,09,guayas,21
25,26/3/2020,17:00,10,imbabura,1
25,26/3/2020,17:00,11,loja,0
25,26/3/2020,17:00,12,los rios,3
25,26/3/2020,17:00,13,manabi,0
25,26/3/2020,17:00,14,morona santiago,0
25,26/3/2020,17:00,16,pastaza,0
25,26/3/2020,17:00,17,pichincha,3
25,26/3/2020,17:00,24,santa elena,2
25,26/3/2020,17:00,23,santo domingo tsachilas,0
25,26/3/2020,17:00,21,Sucumbios,0
25,26/3/2020,17:00,18,tungurahua,0
25,26/3/2020,17:00,19,zamora chinchipe,0
27,27/3/2020,17:00,01,azuay,0
27,27/3/2020,17:00,02,bolivar,0
27,27/3/2020,17:00,03,canar,0
27,27/3/2020,17:00,04,carchi,0
27,27/3/2020,17:00,06,chimborazo,0
27,27/3/2020,17:00,05,cotopaxi,1
27,27/3/2020,17:00,07,el oro,3
27,27/3/2020,17:00,08,esmeraldas,0
27,27/3/2020,17:00,20,galapagos,0
27,27/3/2020,17:00,09,guayas,25
27,27/3/2020,17:00,10,imbabura,1
27,27/3/2020,17:00,11,loja,0
27,27/3/2020,17:00,12,los rios,3
27,27/3/2020,17:00,13,manabi,1
27,27/3/2020,17:00,14,morona santiago,0
27,27/3/2020,17:00,16,pastaza,0
27,27/3/2020,17:00,17,pichincha,4
27,27/3/2020,17:00,24,santa elena,2
27,27/3/2020,17:00,23,santo domingo tsachilas,0
27,27/3/2020,17:00,21,Sucumbios,1
27,27/3/2020,17:00,18,tungurahua,0
27,27/3/2020,17:00,19,zamora chinchipe,0
28,28/3/2020,17:00,01,azuay,0
28,28/3/2020,17:00,02,bolivar,0
28,28/3/2020,17:00,03,canar,0
28,28/3/2020,17:00,04,carchi,0
28,28/3/2020,17:00,06,chimborazo,1
28,28/3/2020,17:00,05,cotopaxi,0
28,28/3/2020,17:00,07,el oro,3
28,28/3/2020,17:00,08,esmeraldas,0
28,28/3/2020,17:00,20,galapagos,0
28,28/3/2020,17:00,09,guayas,30
28,28/3/2020,17:00,10,imbabura,1
28,28/3/2020,17:00,11,loja,0
28,28/3/2020,17:00,12,los rios,5
28,28/3/2020,17:00,13,manabi,1
28,28/3/2020,17:00,14,morona santiago,0
28,28/3/2020,17:00,16,pastaza,0
28,28/3/2020,17:00,17,pichincha,4
28,28/3/2020,17:00,24,santa elena,2
28,28/3/2020,17:00,23,santo domingo tsachilas,0
28,28/3/2020,17:00,21,Sucumbios,1
28,28/3/2020,17:00,18,tungurahua,0
28,28/3/2020,17:00,19,zamora chinchipe,0
30,29/3/2020,10:00,01,azuay,0
30,29/3/2020,10:00,02,bolivar,0
30,29/3/2020,10:00,03,canar,1
30,29/3/2020,10:00,04,carchi,0
30,29/3/2020,10:00,06,chimborazo,0
30,29/3/2020,10:00,05,cotopaxi,1
30,29/3/2020,10:00,07,el oro,4
30,29/3/2020,10:00,08,esmeraldas,0
30,29/3/2020,10:00,20,galapagos,0
30,29/3/2020,10:00,09,guayas,37
30,29/3/2020,10:00,10,imbabura,1
30,29/3/2020,10:00,11,loja,0
30,29/3/2020,10:00,12,los rios,5
30,29/3/2020,10:00,13,manabi,1
30,29/3/2020,10:00,14,morona santiago,0
30,29/3/2020,10:00,16,pastaza,0
30,29/3/2020,10:00,17,pichincha,4
30,29/3/2020,10:00,24,santa elena,2
30,29/3/2020,10:00,23,santo domingo tsachilas,0
30,29/3/2020,10:00,21,Sucumbios,1
30,29/3/2020,10:00,18,tungurahua,0
30,29/3/2020,10:00,19,zamora chinchipe,0
